Summary_Metric,Voice_Metric,Correlation,P_Value,Significant,Abs_Correlation
Factual_Accuracy,pitch_range_variance,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,surprise_mean,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,happy_max_change,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,neutral_max,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,neutral_range,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,harmonic_ratio_max_change,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,pitch_range_std,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,happy_mean,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,zero_crossing_rate_trend_slope,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Semantic_Similarity,zero_crossing_rate_trend_direction,0.3838247367893692,0.1578398728137074,No,0.3838247367893692
Overall_Percentage,neutral_variance,-0.38282708841080687,0.1590145996625396,No,0.38282708841080687
Overall_Percentage,neutral_std,-0.38282708841080687,0.1590145996625396,No,0.38282708841080687
Topic_Coverage,pitch_std_mean_change,0.3822865266333332,0.15965352987554257,No,0.3822865266333332
Overall_Percentage,volume_range_total_change,0.381038176782719,0.1611355581286633,No,0.381038176782719
Overall_Percentage,speech_rate_range,0.38100038100057154,0.16118057073793296,No,0.38100038100057154
Overall_Percentage,arousal_trend_direction,-0.37709985557577297,0.16587080255761458,No,0.37709985557577297
Overall_Percentage,dominance_trend_direction,-0.37709985557577297,0.16587080255761458,No,0.37709985557577297
Topic_Coverage,spectral_bandwidth_trend_slope,-0.37685117317409145,0.1661728571832124,No,0.37685117317409145
Overall_Percentage,fear_mean_change,0.37567144189845536,0.1676107319775402,No,0.37567144189845536
Topic_Coverage,spectral_rolloff_cv,-0.37503938868767756,0.16838445469997695,No,0.37503938868767756
Semantic_Similarity,fear_variance,0.37499999999999994,0.16843274984674558,No,0.37499999999999994
Semantic_Similarity,fear_std,0.37499999999999994,0.16843274984674558,No,0.37499999999999994
Overall_Percentage,happy_max_change,-0.37388253027036744,0.169806704922908,No,0.37388253027036744
Overall_Percentage,volume_mean_total_change,0.37388253027036744,0.169806704922908,No,0.37388253027036744
Overall_Percentage,speech_rate_max_change,0.37330437722844806,0.17052044601433947,No,0.37330437722844806
Topic_Coverage,spectral_centroid_cv,-0.37322760420126366,0.17061537205415325,No,0.37322760420126366
Overall_Percentage,spectral_centroid_trend_slope,-0.3720936186422796,0.17202154022168356,No,0.3720936186422796
Semantic_Similarity,spectral_bandwidth_variance,0.3714285714285714,0.17284974708033998,No,0.3714285714285714
Semantic_Similarity,spectral_bandwidth_std,0.3714285714285714,0.17284974708033998,No,0.3714285714285714
Factual_Accuracy,spectral_bandwidth_min,0.36978699847672347,0.174905252576955,No,0.36978699847672347
Overall_Percentage,angry_cv,-0.3685157953861038,0.1765079613116107,No,0.3685157953861038
Semantic_Similarity,surprise_range,0.36785714285714277,0.17734214689349137,No,0.36785714285714277
Topic_Coverage,spectral_centroid_total_change,0.367792250742022,0.177424472292694,No,0.367792250742022
Overall_Percentage,pitch_mean_mean_change,0.36493797212992807,0.18107031021080755,No,0.36493797212992807
Semantic_Similarity,disgust_std,0.36428571428571427,0.18191025904581395,No,0.36428571428571427
Semantic_Similarity,disgust_variance,0.36428571428571427,0.18191025904581395,No,0.36428571428571427
Semantic_Similarity,pitch_range_max_change,0.36428571428571427,0.18191025904581395,No,0.36428571428571427
Topic_Coverage,valence_std,0.36416868176919415,0.18206123653982376,No,0.36416868176919415
Topic_Coverage,arousal_trend_slope,-0.36416868176919415,0.18206123653982376,No,0.36416868176919415
Topic_Coverage,angry_max_change,0.36416868176919415,0.18206123653982376,No,0.36416868176919415
Topic_Coverage,valence_variance,0.36416868176919415,0.18206123653982376,No,0.36416868176919415
Overall_Percentage,pitch_mean_mean,0.3631490605018402,0.18338005076382813,No,0.3631490605018402
Overall_Percentage,spectral_centroid_total_change,0.3631490605018402,0.18338005076382813,No,0.3631490605018402
Topic_Coverage,angry_max,0.36235689728278025,0.18440894343316294,No,0.36235689728278025
Topic_Coverage,angry_range,0.36235689728278025,0.18440894343316294,No,0.36235689728278025
Semantic_Similarity,pitch_range_range,0.3607142857142856,0.18655437415416354,No,0.3607142857142856
Semantic_Similarity,pitch_variation_cv,0.3607142857142856,0.18655437415416354,No,0.3607142857142856
Overall_Percentage,pitch_variation_mean_change,0.3577823256175765,0.19042395487175426,No,0.3577823256175765
Overall_Percentage,dominance_cv,-0.3577823256175765,0.19042395487175426,No,0.3577823256175765
Semantic_Similarity,pitch_range_std,0.3571428571428571,0.19127476343157904,No,0.3571428571428571
Semantic_Similarity,pitch_range_variance,0.3571428571428571,0.19127476343157904,No,0.3571428571428571
Semantic_Similarity,volume_range_min,-0.35677123522744136,0.19177033101554647,No,0.35677123522744136
Overall_Percentage,silence_ratio_total_change,0.35599341398948864,0.19281025932851717,No,0.35599341398948864
Semantic_Similarity,harmonic_ratio_mean,-0.35357142857142854,0.1960716784341988,No,0.35357142857142854
Factual_Accuracy,speech_rate_trend_direction,-0.35355339059327373,0.1960961005248185,No,0.35355339059327373
Factual_Accuracy,neutral_trend_direction,0.35355339059327373,0.1960961005248185,No,0.35355339059327373
Overall_Percentage,spectral_bandwidth_total_change,0.3524155907333129,0.19764055588375692,No,0.3524155907333129
Overall_Percentage,volume_std_total_change,0.3524155907333129,0.19764055588375692,No,0.3524155907333129
Topic_Coverage,sad_trend_direction,-0.3515256198883781,0.19885404163702342,No,0.3515256198883781
