Summary_Metric,Fusion_Metric,Correlation,P_Value,Significant,Abs_Correlation
Semantic_Similarity,fused_time_in_stressed,0.09651478384760549,0.7322217615123143,No,0.09651478384760549
Semantic_Similarity,combined_intensity_median,-0.0964285714285714,0.7324528633867308,No,0.0964285714285714
Topic_Coverage,combined_arousal_max,-0.09602457777993677,0.7335360967293674,No,0.09602457777993677
Overall_Percentage,combined_arousal_range,-0.09481231628865777,0.7367893427950631,No,0.09481231628865777
Overall_Percentage,combined_valence_max_change,-0.0930234046605699,0.7415976693142499,No,0.0930234046605699
Semantic_Similarity,combined_pct_time_tired,0.0857142857142857,0.7613341261907667,No,0.0857142857142857
Semantic_Similarity,combined_valence_min,-0.0857142857142857,0.7613341261907667,No,0.0857142857142857
Semantic_Similarity,combined_valence_total_change,0.0857142857142857,0.7613341261907667,No,0.0857142857142857
Semantic_Similarity,combined_valence_mean_change,0.0857142857142857,0.7613341261907667,No,0.0857142857142857
Topic_Coverage,combined_arousal_mean,-0.08153030188862555,0.7726945168305699,No,0.08153030188862555
Semantic_Similarity,fused_overall_stability,0.07857142857142857,0.7807545523090464,No,0.07857142857142857
Semantic_Similarity,fused_overall_volatility,-0.07857142857142857,0.7807545523090464,No,0.07857142857142857
Factual_Accuracy,combined_valence_variance,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,fused_pct_time_stressed,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,combined_time_in_calm,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,fused_dominant_emotion_strength,-0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,combined_pct_time_stressed,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,combined_valence_std,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,fused_peak_intensity_max,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
